is_kiwi,recording,segment_index,segment_path
0.0,ZA_20181006_233000,0.0,segments/ZA_20181006_233000_0.png
0.0,ZA_20181006_233000,1.0,segments/ZA_20181006_233000_1.png
0.0,ZA_20181006_233000,2.0,segments/ZA_20181006_233000_2.png
0.0,ZA_20181006_233000,3.0,segments/ZA_20181006_233000_3.png
0.0,ZA_20181006_233000,4.0,segments/ZA_20181006_233000_4.png
0.0,ZA_20181006_233000,5.0,segments/ZA_20181006_233000_5.png
0.0,ZA_20181006_233000,6.0,segments/ZA_20181006_233000_6.png
0.0,ZA_20181006_233000,7.0,segments/ZA_20181006_233000_7.png
0.0,ZA_20181006_233000,8.0,segments/ZA_20181006_233000_8.png
0.0,ZA_20181006_233000,9.0,segments/ZA_20181006_233000_9.png
0.0,ZA_20181006_233000,10.0,segments/ZA_20181006_233000_10.png
0.0,ZA_20181006_233000,11.0,segments/ZA_20181006_233000_11.png
0.0,ZA_20181006_233000,12.0,segments/ZA_20181006_233000_12.png
0.0,ZA_20181006_233000,13.0,segments/ZA_20181006_233000_13.png
0.0,ZA_20181006_233000,14.0,segments/ZA_20181006_233000_14.png
0.0,ZA_20181006_233000,15.0,segments/ZA_20181006_233000_15.png
0.0,ZA_20181006_233000,16.0,segments/ZA_20181006_233000_16.png
0.0,ZA_20181006_233000,17.0,segments/ZA_20181006_233000_17.png
0.0,ZA_20181006_233000,18.0,segments/ZA_20181006_233000_18.png
0.0,ZA_20181006_233000,19.0,segments/ZA_20181006_233000_19.png
0.0,ZA_20181006_233000,20.0,segments/ZA_20181006_233000_20.png
0.0,ZA_20181006_233000,21.0,segments/ZA_20181006_233000_21.png
0.0,ZA_20181006_233000,22.0,segments/ZA_20181006_233000_22.png
0.0,ZA_20181006_233000,23.0,segments/ZA_20181006_233000_23.png
0.0,ZA_20181006_233000,24.0,segments/ZA_20181006_233000_24.png
0.0,ZA_20181006_233000,25.0,segments/ZA_20181006_233000_25.png
0.0,ZA_20181006_233000,26.0,segments/ZA_20181006_233000_26.png
0.0,ZA_20181006_233000,27.0,segments/ZA_20181006_233000_27.png
0.0,ZA_20181006_233000,28.0,segments/ZA_20181006_233000_28.png
0.0,ZA_20181006_233000,29.0,segments/ZA_20181006_233000_29.png
0.0,ZA_20181006_233000,30.0,segments/ZA_20181006_233000_30.png
0.0,ZA_20181006_233000,31.0,segments/ZA_20181006_233000_31.png
0.0,ZA_20181006_233000,32.0,segments/ZA_20181006_233000_32.png
0.0,ZA_20181006_233000,33.0,segments/ZA_20181006_233000_33.png
0.0,ZA_20181006_233000,34.0,segments/ZA_20181006_233000_34.png
1.0,ZA_20181006_233000,35.0,segments/ZA_20181006_233000_35.png
1.0,ZA_20181006_233000,36.0,segments/ZA_20181006_233000_36.png
1.0,ZA_20181006_233000,37.0,segments/ZA_20181006_233000_37.png
1.0,ZA_20181006_233000,38.0,segments/ZA_20181006_233000_38.png
1.0,ZA_20181006_233000,39.0,segments/ZA_20181006_233000_39.png
0.0,ZA_20181006_233000,40.0,segments/ZA_20181006_233000_40.png
0.0,ZA_20181006_233000,41.0,segments/ZA_20181006_233000_41.png
0.0,ZA_20181006_233000,42.0,segments/ZA_20181006_233000_42.png
0.0,ZA_20181006_233000,43.0,segments/ZA_20181006_233000_43.png
0.0,ZA_20181006_233000,44.0,segments/ZA_20181006_233000_44.png
0.0,ZA_20181006_233000,45.0,segments/ZA_20181006_233000_45.png
0.0,ZA_20181006_233000,46.0,segments/ZA_20181006_233000_46.png
0.0,ZA_20181006_233000,47.0,segments/ZA_20181006_233000_47.png
1.0,ZA_20181006_233000,48.0,segments/ZA_20181006_233000_48.png
1.0,ZA_20181006_233000,49.0,segments/ZA_20181006_233000_49.png
1.0,ZA_20181006_233000,50.0,segments/ZA_20181006_233000_50.png
1.0,ZA_20181006_233000,51.0,segments/ZA_20181006_233000_51.png
0.0,ZA_20181006_233000,52.0,segments/ZA_20181006_233000_52.png
0.0,ZA_20181006_233000,53.0,segments/ZA_20181006_233000_53.png
0.0,ZA_20181006_233000,54.0,segments/ZA_20181006_233000_54.png
0.0,ZA_20181006_233000,55.0,segments/ZA_20181006_233000_55.png
0.0,ZA_20181006_233000,56.0,segments/ZA_20181006_233000_56.png
0.0,ZA_20181006_233000,57.0,segments/ZA_20181006_233000_57.png
0.0,ZA_20181006_233000,58.0,segments/ZA_20181006_233000_58.png
0.0,ZA_20181006_233000,59.0,segments/ZA_20181006_233000_59.png
0.0,ZA_20181006_233000,60.0,segments/ZA_20181006_233000_60.png
0.0,ZA_20181006_233000,61.0,segments/ZA_20181006_233000_61.png
0.0,ZA_20181006_233000,62.0,segments/ZA_20181006_233000_62.png
0.0,ZA_20181006_233000,63.0,segments/ZA_20181006_233000_63.png
0.0,ZA_20181006_233000,64.0,segments/ZA_20181006_233000_64.png
0.0,ZA_20181006_233000,65.0,segments/ZA_20181006_233000_65.png
0.0,ZA_20181006_233000,66.0,segments/ZA_20181006_233000_66.png
0.0,ZA_20181006_233000,67.0,segments/ZA_20181006_233000_67.png
0.0,ZA_20181006_233000,68.0,segments/ZA_20181006_233000_68.png
0.0,ZA_20181006_233000,69.0,segments/ZA_20181006_233000_69.png
0.0,ZA_20181006_233000,70.0,segments/ZA_20181006_233000_70.png
0.0,ZA_20181006_233000,71.0,segments/ZA_20181006_233000_71.png
0.0,ZA_20181006_233000,72.0,segments/ZA_20181006_233000_72.png
0.0,ZA_20181006_233000,73.0,segments/ZA_20181006_233000_73.png
0.0,ZA_20181006_233000,74.0,segments/ZA_20181006_233000_74.png
0.0,ZE_20181007_050939,0.0,segments/ZE_20181007_050939_0.png
0.0,ZE_20181007_050939,1.0,segments/ZE_20181007_050939_1.png
0.0,ZE_20181007_050939,2.0,segments/ZE_20181007_050939_2.png
